,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2822,300692,中环环保,0.08,33.33,,1.46,,1368.09,35.08,,04-28
2823,603016,新宏泰,0.08,-27.27,,1.46,,1225.9,-8.33,,04-28
2824,300382,斯莱克,0.01,-75.0,,0.78,,763.14,-63.99,,04-28
2825,672,上峰水泥,0.42,-6.67,,6.0,,33620.74,-6.33,,04-28
2826,300071,华谊嘉信,-0.08,33.33,,-63.24,,-5478.52,33.18,,04-28
2827,603703,盛洋科技,,,,0.24,,105.46,-23.47,,04-28
2828,2412,汉森制药,0.07,-45.99,,2.39,,3694.36,-8.15,,04-28
2829,300087,荃银高科,0.02,7.0,,1.82,,882.29,7.92,,04-28
2830,300745,欣锐科技,-0.13,-192.86,,-1.37,,-1491.66,-195.5,,04-28
2831,2137,实益达,0.04,-60.62,,1.5,,2139.99,-60.65,,04-28
2832,603809,豪能股份,0.19,-25.86,,2.48,,3987.08,3.81,,04-28
2833,600605,汇通能源,0.08,-324.32,,1.69,,1218.38,-325.68,,04-28
2834,2,万科A,0.11,8.82,,0.66,,124935.93,11.49,,04-28
2835,603208,江山欧派,0.46,253.85,,2.81,,3742.77,259.44,,04-28
2836,300170,汉得信息,0.01,-81.5,,0.39,,1213.07,-81.57,,04-28
2837,603896,寿仙谷,0.23,-25.81,,2.76,,3281.08,-24.24,,04-28
2838,600243,*ST海华,-0.09,12.5,,-3.53,,-3887.57,4.68,,04-28
2839,600642,申能股份,0.09,-23.97,,1.52,,45307.22,-17.75,,04-28
2840,42,中洲控股,-0.11,-132.28,,-1.0,,-7485.33,-132.28,,04-28
2841,300528,幸福蓝海,-0.27,-775.0,,-7.76,,-10188.15,-870.78,,04-28
2842,68,华控赛格,-0.03,-7.39,,-5.13,,-2644.2,-7.57,,04-28
2843,2896,中大力德,0.13,-27.78,,1.65,,1049.43,-26.72,,04-28
2844,909,数源科技,0.01,-14.29,,0.36,,387.87,-10.43,,04-28
2845,603335,迪生力,0.06,500.0,,4.63,,2674.4,785.12,,04-28
2846,300561,汇金科技,0.02,-66.67,,0.71,,607.1,-38.57,,04-28
2847,603365,水星家纺,0.15,-46.43,,1.79,,4127.65,-45.38,,04-28
2848,300578,会畅通讯,0.07,-65.0,,1.21,,1340.15,-59.3,,04-28
2849,603392,万泰生物,0.18,80.0,,4.38,-0.09,7043.66,75.02,,04-28
2850,2608,江苏国信,0.13,-55.17,,1.75,,47733.15,-56.82,,04-28
2851,601616,广电电气,0.01,6.25,,0.43,,1109.53,5.86,,04-28
2852,300284,苏交科,0.01,-92.65,,0.16,,774.2,-91.21,,04-28
2853,300627,华测导航,0.08,2.88,,1.88,,1888.68,3.2,,04-28
2854,2985,北摩高科,0.52,44.44,10.51,5.04,-0.16,5822.6,43.23,,04-28
2855,688099,晶晨股份,-0.1,,,-1.41,,-3929.47,-184.92,,04-28
2859,600059,古越龙山,0.06,-33.33,,1.1,,4638.7,-34.11,,04-28
